"uid"	"qRad"	"qLat"	"qLong"	"qString"	"block"	"isDone"	"timLocs"
"35260447"	164.653002358503	43.16582	-79.25227	"43.16582,-79.25227"	43	FALSE	""
"59210423"	303.116582680594	49.14931	-123.95097	"49.14931,-123.95097"	43	FALSE	""
"12050084"	12625.1319649024	44.77144	-64.95076	"44.77144,-64.95076"	43	FALSE	""
"47050209"	1197.07500297294	50.5435	-102.35406	"50.5435,-102.35406"	43	FALSE	""
"24650214"	211.144580640102	45.58842	-73.66544	"45.58842,-73.66544"	43	FALSE	""
"35240696"	281.773734389316	43.44257	-79.75718	"43.44257,-79.75718"	43	FALSE	""
"35061124"	3501.11051651848	45.48202	-75.34931	"45.48202,-75.34931"	43	FALSE	""
"35190952"	233.574710441283	44.07274	-79.44498	"44.07274,-79.44498"	43	FALSE	""
"35204344"	273.212902717513	43.74291	-79.21475	"43.74291,-79.21475"	43	FALSE	""
"59151474"	205.635738027692	49.22876	-123.03651	"49.22876,-123.03651"	43	FALSE	""
"10080227"	665.63150810295	49.78946	-56.63371	"49.78946,-56.63371"	43	FALSE	""
"35430879"	247.37657762431	44.48726	-80.2225	"44.48726,-80.2225"	43	FALSE	""
"24662043"	122.966406709579	45.55386	-73.5532	"45.55386,-73.5532"	43	FALSE	""
"48060252"	219.658170329307	51.12868	-114.15724	"51.12868,-114.15724"	43	FALSE	""
"11030154"	768.481402899725	46.33921	-63.70824	"46.33921,-63.70824"	43	FALSE	""
"35191018"	176.900883630379	43.81031	-79.42185	"43.81031,-79.42185"	43	FALSE	""
"35240755"	2736.77632610473	43.59262	-79.98217	"43.59262,-79.98217"	43	FALSE	""
"12030045"	3335.50044894341	44.63128	-65.76756	"44.63128,-65.76756"	43	FALSE	""
"24230420"	1582.15778547573	46.92941	-71.32693	"46.92941,-71.32693"	43	FALSE	""
"24663164"	302.862049647819	45.46515	-73.83887	"45.46515,-73.83887"	43	FALSE	""
"24662698"	151.147269096407	45.58994	-73.64955	"45.58994,-73.64955"	43	FALSE	""
"59152137"	290.652194983426	49.15849	-122.9271	"49.15849,-122.9271"	43	FALSE	""
"35380315"	3402.78624516162	42.9504	-82.26402	"42.9504,-82.26402"	43	FALSE	""
"35201281"	126.679988108437	43.65935	-79.47844	"43.65935,-79.47844"	43	FALSE	""
"24661916"	440.693786765468	45.52833	-73.54316	"45.52833,-73.54316"	43	FALSE	""
"24590139"	2265.45357781691	45.61049	-73.314	"45.61049,-73.314"	43	FALSE	""
"13080094"	18557.4120602014	46.4051	-65.39755	"46.4051,-65.39755"	43	FALSE	""
